DATE,DESCRIPTION,AMOUNT,CARD MEMBER,CATEGORY
02/02/2025,SAFEWAY #1842,119.29,M CHEN,
02/06/2025,SAFEWAY #1842,148.00,M CHEN,
02/10/2025,SAFEWAY #1842,172.14,M CHEN,
02/14/2025,SAFEWAY #1842,172.35,M CHEN,
02/18/2025,SAFEWAY #1842,164.08,M CHEN,
02/22/2025,SAFEWAY #1842,157.74,M CHEN,
02/02/2025,COSTCO WHSE #0431,245.80,M CHEN,
02/06/2025,COSTCO WHSE #0431,220.89,M CHEN,
02/02/2025,TRADER JOES #221,101.38,M CHEN,
02/06/2025,TRADER JOES #221,104.46,M CHEN,
02/10/2025,TRADER JOES #221,83.60,M CHEN,
02/02/2025,STARBUCKS STORE 09112,14.81,M CHEN,
02/06/2025,STARBUCKS STORE 09112,14.26,M CHEN,
02/10/2025,STARBUCKS STORE 09112,11.60,M CHEN,
02/14/2025,STARBUCKS STORE 09112,13.70,M CHEN,
02/18/2025,STARBUCKS STORE 09112,12.51,M CHEN,
02/22/2025,STARBUCKS STORE 09112,9.09,M CHEN,
02/02/2025,TST* CORNER BAKERY DOWNTOWN,32.09,M CHEN,
02/06/2025,TST* CORNER BAKERY DOWNTOWN,31.84,M CHEN,
02/02/2025,DOORDASH ORDER,56.10,M CHEN,
02/06/2025,DOORDASH ORDER,61.45,M CHEN,
02/10/2025,DOORDASH ORDER,53.46,M CHEN,
02/02/2025,CHEVRON 00934521,51.92,M CHEN,
02/06/2025,CHEVRON 00934521,84.92,M CHEN,
02/10/2025,CHEVRON 00934521,55.85,M CHEN,
02/14/2025,CHEVRON 00934521,62.47,M CHEN,
02/02/2025,SHELL OIL 574102,62.73,M CHEN,
02/06/2025,SHELL OIL 574102,47.90,M CHEN,
02/02/2025,AMAZON.COM*RT4G92,83.95,M CHEN,
02/06/2025,AMAZON.COM*RT4G92,65.88,M CHEN,
02/10/2025,AMAZON.COM*RT4G92,87.04,M CHEN,
02/14/2025,AMAZON.COM*RT4G92,77.93,M CHEN,
02/18/2025,AMAZON.COM*RT4G92,77.93,M CHEN,
02/02/2025,TARGET T-1290,108.97,M CHEN,
02/06/2025,TARGET T-1290,109.19,M CHEN,
02/10/2025,TARGET T-1290,102.48,M CHEN,
02/02/2025,CVS PHARMACY #4471,47.83,M CHEN,
02/06/2025,CVS PHARMACY #4471,56.44,M CHEN,
02/02/2025,MAIN STREET PHARMACY,38.20,M CHEN,
02/02/2025,PETCO 1123,46.56,M CHEN,
02/02/2025,HOME DEPOT #6612,110.26,M CHEN,
02/02/2025,UNITED AIRLINES 0162,492.97,M CHEN,
02/02/2025,MARRIOTT HOTELS,341.72,M CHEN,
03/02/2025,SAFEWAY #1842,146.21,M CHEN,
03/06/2025,SAFEWAY #1842,116.80,M CHEN,
03/10/2025,SAFEWAY #1842,120.14,M CHEN,
03/14/2025,SAFEWAY #1842,145.87,M CHEN,
03/18/2025,SAFEWAY #1842,142.35,M CHEN,
03/22/2025,SAFEWAY #1842,126.69,M CHEN,
03/02/2025,COSTCO WHSE #0431,225.42,M CHEN,
03/06/2025,COSTCO WHSE #0431,172.51,M CHEN,
03/02/2025,TRADER JOES #221,78.49,M CHEN,
03/06/2025,TRADER JOES #221,89.44,M CHEN,
03/10/2025,TRADER JOES #221,111.58,M CHEN,
03/02/2025,STARBUCKS STORE 09112,13.28,M CHEN,
03/06/2025,STARBUCKS STORE 09112,10.98,M CHEN,
03/10/2025,STARBUCKS STORE 09112,14.17,M CHEN,
03/14/2025,STARBUCKS STORE 09112,10.21,M CHEN,
03/18/2025,STARBUCKS STORE 09112,10.72,M CHEN,
03/22/2025,STARBUCKS STORE 09112,10.07,M CHEN,
03/02/2025,TST* CORNER BAKERY DOWNTOWN,28.93,M CHEN,
03/06/2025,TST* CORNER BAKERY DOWNTOWN,29.82,M CHEN,
03/02/2025,DOORDASH ORDER,64.55,M CHEN,
03/06/2025,DOORDASH ORDER,66.82,M CHEN,
03/10/2025,DOORDASH ORDER,41.93,M CHEN,
03/02/2025,CHEVRON 00934521,58.60,M CHEN,
03/06/2025,CHEVRON 00934521,70.72,M CHEN,
03/10/2025,CHEVRON 00934521,72.75,M CHEN,
03/14/2025,CHEVRON 00934521,74.54,M CHEN,
03/02/2025,SHELL OIL 574102,66.93,M CHEN,
03/06/2025,SHELL OIL 574102,64.70,M CHEN,
03/02/2025,AMAZON.COM*RT4G92,82.54,M CHEN,
03/06/2025,AMAZON.COM*RT4G92,76.26,M CHEN,
03/10/2025,AMAZON.COM*RT4G92,56.37,M CHEN,
03/14/2025,AMAZON.COM*RT4G92,72.71,M CHEN,
03/18/2025,AMAZON.COM*RT4G92,73.14,M CHEN,
03/02/2025,TARGET T-1290,96.51,M CHEN,
03/06/2025,TARGET T-1290,89.95,M CHEN,
03/10/2025,TARGET T-1290,103.53,M CHEN,
03/02/2025,CVS PHARMACY #4471,35.55,M CHEN,
03/06/2025,CVS PHARMACY #4471,41.15,M CHEN,
03/02/2025,MAIN STREET PHARMACY,37.48,M CHEN,
03/02/2025,PETCO 1123,53.03,M CHEN,
03/02/2025,HOME DEPOT #6612,131.79,M CHEN,
03/02/2025,UNITED AIRLINES 0162,464.46,M CHEN,
03/02/2025,MARRIOTT HOTELS,348.72,M CHEN,
04/02/2025,SAFEWAY #1842,115.97,M CHEN,
04/06/2025,SAFEWAY #1842,184.37,M CHEN,
04/10/2025,SAFEWAY #1842,158.89,M CHEN,
04/14/2025,SAFEWAY #1842,152.76,M CHEN,
04/18/2025,SAFEWAY #1842,173.69,M CHEN,
04/22/2025,SAFEWAY #1842,112.89,M CHEN,
04/02/2025,COSTCO WHSE #0431,231.99,M CHEN,
04/06/2025,COSTCO WHSE #0431,197.36,M CHEN,
04/02/2025,TRADER JOES #221,72.49,M CHEN,
04/06/2025,TRADER JOES #221,114.80,M CHEN,
04/10/2025,TRADER JOES #221,100.27,M CHEN,
04/02/2025,STARBUCKS STORE 09112,14.84,M CHEN,
04/06/2025,STARBUCKS STORE 09112,10.50,M CHEN,
04/10/2025,STARBUCKS STORE 09112,13.69,M CHEN,
04/14/2025,STARBUCKS STORE 09112,12.58,M CHEN,
04/18/2025,STARBUCKS STORE 09112,13.31,M CHEN,
04/22/2025,STARBUCKS STORE 09112,9.59,M CHEN,
04/02/2025,TST* CORNER BAKERY DOWNTOWN,43.26,M CHEN,
04/06/2025,TST* CORNER BAKERY DOWNTOWN,39.08,M CHEN,
04/02/2025,DOORDASH ORDER,61.39,M CHEN,
04/06/2025,DOORDASH ORDER,55.42,M CHEN,
04/10/2025,DOORDASH ORDER,63.33,M CHEN,
04/02/2025,CHEVRON 00934521,59.97,M CHEN,
04/06/2025,CHEVRON 00934521,77.07,M CHEN,
04/10/2025,CHEVRON 00934521,77.82,M CHEN,
04/14/2025,CHEVRON 00934521,60.36,M CHEN,
04/02/2025,SHELL OIL 574102,73.62,M CHEN,
04/06/2025,SHELL OIL 574102,62.14,M CHEN,
04/02/2025,AMAZON.COM*RT4G92,89.57,M CHEN,
04/06/2025,AMAZON.COM*RT4G92,68.51,M CHEN,
04/10/2025,AMAZON.COM*RT4G92,77.37,M CHEN,
04/14/2025,AMAZON.COM*RT4G92,82.04,M CHEN,
04/18/2025,AMAZON.COM*RT4G92,82.60,M CHEN,
04/02/2025,TARGET T-1290,105.43,M CHEN,
04/06/2025,TARGET T-1290,76.64,M CHEN,
04/10/2025,TARGET T-1290,90.01,M CHEN,
04/02/2025,CVS PHARMACY #4471,46.42,M CHEN,
04/06/2025,CVS PHARMACY #4471,35.15,M CHEN,
04/02/2025,MAIN STREET PHARMACY,29.73,M CHEN,
04/02/2025,PETCO 1123,67.49,M CHEN,
04/02/2025,HOME DEPOT #6612,146.88,M CHEN,
04/02/2025,UNITED AIRLINES 0162,450.60,M CHEN,
04/02/2025,MARRIOTT HOTELS,248.44,M CHEN,
05/02/2025,SAFEWAY #1842,111.94,M CHEN,
05/06/2025,SAFEWAY #1842,113.19,M CHEN,
05/10/2025,SAFEWAY #1842,132.68,M CHEN,
05/14/2025,SAFEWAY #1842,129.05,M CHEN,
05/18/2025,SAFEWAY #1842,151.52,M CHEN,
05/22/2025,SAFEWAY #1842,131.36,M CHEN,
05/02/2025,COSTCO WHSE #0431,257.60,M CHEN,
05/06/2025,COSTCO WHSE #0431,165.77,M CHEN,
05/02/2025,TRADER JOES #221,82.81,M CHEN,
05/06/2025,TRADER JOES #221,78.68,M CHEN,
05/10/2025,TRADER JOES #221,82.59,M CHEN,
05/02/2025,STARBUCKS STORE 09112,14.50,M CHEN,
05/06/2025,STARBUCKS STORE 09112,11.73,M CHEN,
05/10/2025,STARBUCKS STORE 09112,12.56,M CHEN,
05/14/2025,STARBUCKS STORE 09112,11.28,M CHEN,
05/18/2025,STARBUCKS STORE 09112,11.97,M CHEN,
05/22/2025,STARBUCKS STORE 09112,14.48,M CHEN,
05/02/2025,TST* CORNER BAKERY DOWNTOWN,43.61,M CHEN,
05/06/2025,TST* CORNER BAKERY DOWNTOWN,37.47,M CHEN,
05/02/2025,DOORDASH ORDER,46.09,M CHEN,
05/06/2025,DOORDASH ORDER,50.70,M CHEN,
05/10/2025,DOORDASH ORDER,62.14,M CHEN,
05/02/2025,CHEVRON 00934521,59.96,M CHEN,
05/06/2025,CHEVRON 00934521,51.89,M CHEN,
05/10/2025,CHEVRON 00934521,84.83,M CHEN,
05/14/2025,CHEVRON 00934521,58.16,M CHEN,
05/02/2025,SHELL OIL 574102,57.01,M CHEN,
05/06/2025,SHELL OIL 574102,70.38,M CHEN,
05/02/2025,AMAZON.COM*RT4G92,82.03,M CHEN,
05/06/2025,AMAZON.COM*RT4G92,81.90,M CHEN,
05/10/2025,AMAZON.COM*RT4G92,70.23,M CHEN,
05/14/2025,AMAZON.COM*RT4G92,69.28,M CHEN,
05/18/2025,AMAZON.COM*RT4G92,76.84,M CHEN,
05/02/2025,TARGET T-1290,106.06,M CHEN,
05/06/2025,TARGET T-1290,96.67,M CHEN,
05/10/2025,TARGET T-1290,75.02,M CHEN,
05/02/2025,CVS PHARMACY #4471,36.22,M CHEN,
05/06/2025,CVS PHARMACY #4471,54.73,M CHEN,
05/02/2025,MAIN STREET PHARMACY,37.73,M CHEN,
05/02/2025,PETCO 1123,72.77,M CHEN,
05/02/2025,HOME DEPOT #6612,105.87,M CHEN,
05/02/2025,UNITED AIRLINES 0162,460.40,M CHEN,
05/02/2025,MARRIOTT HOTELS,285.96,M CHEN,
06/02/2025,SAFEWAY #1842,176.42,M CHEN,
06/06/2025,SAFEWAY #1842,166.21,M CHEN,
06/10/2025,SAFEWAY #1842,184.24,M CHEN,
06/14/2025,SAFEWAY #1842,134.91,M CHEN,
06/18/2025,SAFEWAY #1842,157.46,M CHEN,
06/22/2025,SAFEWAY #1842,111.55,M CHEN,
06/02/2025,COSTCO WHSE #0431,213.32,M CHEN,
06/06/2025,COSTCO WHSE #0431,204.38,M CHEN,
06/02/2025,TRADER JOES #221,110.95,M CHEN,
06/06/2025,TRADER JOES #221,83.13,M CHEN,
06/10/2025,TRADER JOES #221,80.18,M CHEN,
06/02/2025,STARBUCKS STORE 09112,13.85,M CHEN,
06/06/2025,STARBUCKS STORE 09112,10.70,M CHEN,
06/10/2025,STARBUCKS STORE 09112,13.25,M CHEN,
06/14/2025,STARBUCKS STORE 09112,9.24,M CHEN,
06/18/2025,STARBUCKS STORE 09112,10.37,M CHEN,
06/22/2025,STARBUCKS STORE 09112,13.99,M CHEN,
06/02/2025,TST* CORNER BAKERY DOWNTOWN,39.19,M CHEN,
06/06/2025,TST* CORNER BAKERY DOWNTOWN,29.38,M CHEN,
06/02/2025,DOORDASH ORDER,49.06,M CHEN,
06/06/2025,DOORDASH ORDER,43.89,M CHEN,
06/10/2025,DOORDASH ORDER,66.90,M CHEN,
06/02/2025,CHEVRON 00934521,73.73,M CHEN,
06/06/2025,CHEVRON 00934521,82.54,M CHEN,
06/10/2025,CHEVRON 00934521,81.93,M CHEN,
06/14/2025,CHEVRON 00934521,60.46,M CHEN,
06/02/2025,SHELL OIL 574102,74.90,M CHEN,
06/06/2025,SHELL OIL 574102,47.37,M CHEN,
06/02/2025,AMAZON.COM*RT4G92,90.64,M CHEN,
06/06/2025,AMAZON.COM*RT4G92,81.07,M CHEN,
06/10/2025,AMAZON.COM*RT4G92,87.68,M CHEN,
06/14/2025,AMAZON.COM*RT4G92,60.66,M CHEN,
06/18/2025,AMAZON.COM*RT4G92,78.40,M CHEN,
06/02/2025,TARGET T-1290,80.41,M CHEN,
06/06/2025,TARGET T-1290,108.56,M CHEN,
06/10/2025,TARGET T-1290,106.14,M CHEN,
06/02/2025,CVS PHARMACY #4471,42.29,M CHEN,
06/06/2025,CVS PHARMACY #4471,56.45,M CHEN,
06/02/2025,MAIN STREET PHARMACY,36.56,M CHEN,
06/02/2025,PETCO 1123,65.86,M CHEN,
06/02/2025,HOME DEPOT #6612,151.59,M CHEN,
06/02/2025,UNITED AIRLINES 0162,449.46,M CHEN,
06/02/2025,MARRIOTT HOTELS,264.52,M CHEN,
07/02/2025,SAFEWAY #1842,112.97,M CHEN,
07/06/2025,SAFEWAY #1842,130.59,M CHEN,
07/10/2025,SAFEWAY #1842,162.87,M CHEN,
07/14/2025,SAFEWAY #1842,126.95,M CHEN,
